,Job_Title,Company,Location,Level,Type,Function,Industry
48,Data Scientist,Medtronic LABS,"Bengaluru, Karnataka, India",Mid-Senior level,Project Management and Information Technology,Full-time,Hospitals and Health Care
49,Data Scientist,Acme Services,"Mumbai, Maharashtra, India",Mid-Senior level,Engineering and Information Technology,Full-time,Retail
50,Digital Marketing Associate,NxtWave,"Hyderabad, Telangana, India",Associate,Marketing,Full-time,Education Administration Programs
51,Data Analyst - Pune,ConveGenius,"Pune, Maharashtra, India",Entry level,Engineering,Full-time,Education
52,Data Entry,Mentorsity,India,Internship,Administrative,Internship,E-Learning Providers
53,Data Analyst - 100% Remote Job,VGreenTek,"Bengaluru East, Karnataka, India",Entry level,Information Technology,Contract,IT Services and IT Consulting
54,Business Intelligence Trainee (Remote),SmartBuyGlasses Optical Group,India,Entry level,Business Development and Sales,Full-time,Internet Publishing
55,Head of Operations,Adani Green Energy Ltd.,"Bhuj, Gujarat, India",Mid-Senior level,Other,Full-time,"Electric Power Transmission, Control, and Distribution and Electric Power Generation"
56,Data Scientist,Amgen,"Bengaluru, Karnataka, India",Associate,Engineering and Information Technology,Full-time,Biotechnology Research
57,Data Analyst - Ahmedabad - Project,ConveGenius,"Ahmedabad, Gujarat, India",Entry level,Engineering,Full-time,Education
58,Graduate Data Analyst,Arcadis,"Bengaluru, Karnataka, India",Entry level,"Design, Consulting, and Engineering",Full-time,"Construction, Civil Engineering, and Design Services"
59,Product Manager,Tesco Bengaluru,"Bengaluru, Karnataka, India",Not Applicable,Information Technology,Full-time,Retail
60,Data Scientist,LTIMindtree,"Pune, Maharashtra, India",Executive,"Consulting, Business Development, and Engineering",Full-time,"IT Services and IT Consulting, IT System Training and Support, and IT System Data Services"
61,Business Analyst,Junglee Games,"Gurugram, Haryana, India",Entry level,Analyst,Full-time,"Technology, Information and Internet"
62,Associate Data Analyst/ Analytics,ExpertXai Technologies,India,Entry level,Information Technology,Full-time,"Technology, Information and Internet"
63,Data Scientist - Kochi,RipplesIndia Group,"Kochi, Kerala, India",Entry level,Engineering and Information Technology,Full-time,"Aviation and Aerospace Component Manufacturing, Banking, and Airlines and Aviation"
64,Financial Planning Analyst,Magicbricks,"Noida, Uttar Pradesh, India",Entry level,Finance and Analyst,Full-time,"Technology, Information and Media and Real Estate"
65,Data Scientist,LTIMindtree,"Mumbai, Maharashtra, India",Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting
66,Data Entry Operator,Jinkushal Industries Pvt Ltd,"Raipur, Chhattisgarh, India",Associate,Administrative,Full-time,Manufacturing
67,Data Scientist,NIRA,"Bengaluru, Karnataka, India",Entry level,"Information Technology, Analyst, and Engineering",Full-time,"Banking, Financial Services, and Accounting"
68,Data Entry Operator,Jinkushal Industries Pvt Ltd,"Raipur, Chhattisgarh, India",Associate,Administrative,Full-time,Manufacturing
69,Data Scientist,NIRA,"Bengaluru, Karnataka, India",Entry level,"Information Technology, Analyst, and Engineering",Full-time,"Banking, Financial Services, and Accounting"
70,Data Entry Specialist,The Golden Rise,"Warangal, Telangana, India",Entry level,Other,Full-time,"Technology, Information and Internet"
71,Data Analyst,WinZO,"New Delhi, Delhi, India",Entry level,Information Technology and Analyst,Full-time,"IT Services and IT Consulting, Technology, Information and Internet, and Entertainment Providers"
72,Data Analyst (US Shift),Responsive,"Coimbatore, Tamil Nadu, India",Associate,Analyst and Research,Full-time,Software Development
73,Product Manager,airtel,"Gurugram, Haryana, India",Mid-Senior level,"Product Management, Management, and Business Development",Full-time,"Technology, Information and Internet"
74,Data Science intern,Kidvento Education and Research,"Bengaluru East, Karnataka, India",Entry level,Engineering,Full-time,"Technology, Information and Internet"
75,Python Developer Trainee/Intern,Razormet Technologies,"Hubli, Karnataka, India",Entry level,Engineering and Information Technology,Full-time,Software Development
76,Research Analyst,HAMMOQ Inc.,"Ujjain, Madhya Pradesh, India",Associate,"Research, Analyst, and Information Technology",Full-time,Software Development
77,Intern -Business Process Analyst,Acies,Mumbai Metropolitan Region,Internship,Consulting and Information Technology,Full-time,"Banking, Financial Services, and Business Consulting and Services"
78,Intern- Insights & Analysis,NSRCEL,"Bengaluru, Karnataka, India",Internship,Other,Other,Non-profit Organizations
79,Product Manager,Tesco Bengaluru,"Bengaluru, Karnataka, India",Not Applicable,Information Technology,Full-time,Retail
80,Magahi Transcribers (Remote),Sigma AI,"Bihar, India",Entry level,Administrative,Full-time,IT Services and IT Consulting
81,Data Scientist - Python,Awign,Greater Kolkata Area,Entry level,Information Technology,Contract,"Software Development, Technology, Information and Internet, and Data Infrastructure and Analytics"
82,Executive Assistant,Vasitum,"Noida, Uttar Pradesh, India",Entry level,Administrative,Full-time,IT Services and IT Consulting
83,Data Entry Specialist,The Golden Rise,"Nizamabad, Telangana, India",Entry level,Other,Full-time,"Technology, Information and Internet"
84,Data Entry Operator,Odisha Job Consultancy,"Bhubaneswar, Odisha, India",Entry level,Administrative,Full-time,Human Resources Services
85,Data Analyst,Zeno Health,"Bengaluru, Karnataka, India",Mid-Senior level,Product Management,Full-time,Retail Pharmacies
86,Data Entry Specialist,Infosec Ventures,"Gurugram, Haryana, India",Associate,Other,Full-time,"Technology, Information and Internet"
87,Analyst,Axion Ray,"Bengaluru, Karnataka, India",Entry level,Business Development and Sales,Full-time,Software Development
88,Associate - Founder's Office,HealthKart,"Gurugram, Haryana, India",Associate,Analyst,Full-time,"Technology, Information and Internet, Financial Services, and Business Consulting and Services"
89,Data Analyst,Annalect India,"Bengaluru, Karnataka, India",Executive,"Advertising, Analyst, and Art/Creative",Full-time,"Advertising Services, Broadcast Media Production and Distribution, and Technology, Information and Media"
90,Data Entry Work Job in Noida,Motion Advertising Services,"Noida, Uttar Pradesh, India",Entry level,Administrative,Full-time,IT Services and IT Consulting
91,BUSINESS DATA ANALYST,futuremug,Mumbai Metropolitan Region,Associate,Information Technology,Full-time,Human Resources Services
92,Data Analyst,Applied Cloud Computing,"Bengaluru, Karnataka, India",Associate,Information Technology,Full-time,IT Services and IT Consulting
93,Risk Analyst,Jupiter,"Bengaluru, Karnataka, India",Associate,Analyst and Research,Full-time,Financial Services
94,Associate Data Analyst,Hinge Health,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Full-time,Software Development
95,Associate-MIS Reporting,Tesco Bengaluru,"Bengaluru, Karnataka, India",Not Applicable,Other,Full-time,Retail
96,Data Scientist,"RXO, Inc.","Mumbai, Maharashtra, India",Mid-Senior level,"Consulting, Information Technology, and Supply Chain",Full-time,"IT Services and IT Consulting, Transportation, Logistics, Supply Chain and Storage, and Technology, Information and Media"
97,Senior Data Analyst,InfiHire,"Gurugram, Haryana, India",Mid-Senior level,Information Technology,Full-time,"Technology, Information and Internet"
98,"Head of Business Intelligence and Analytics, Google Play",Google,"Bengaluru, Karnataka, India",Mid-Senior level,"Project Management, Strategy/Planning, and Other",Full-time,"Information Services and Technology, Information and Internet"
99,Data Associate,CapTalent HR,"Bengaluru, Karnataka, India",Associate,Information Technology,Full-time,Human Resources Services
100,Data Analyst,Rezo.ai,"Noida, Uttar Pradesh, India",Mid-Senior level,Information Technology,Full-time,"Technology, Information and Media"
101,Data Scientist,Air India Express,"Gurugram, Haryana, India",Entry level,Engineering and Information Technology,Full-time,Airlines and Aviation
102,Data Analyst-Mumbai,HCapital Technologies Private Limited,"Mumbai, Maharashtra, India",Associate,Analyst,Full-time,"Banking, Financial Services, and Investment Banking"
103,Data Analyst,T&N Business Services,"Chennai, Tamil Nadu, India",Associate,Information Technology,Full-time,IT Services and IT Consulting
104,Data Analyst,Chubb,"Bengaluru, Karnataka, India",Entry level,"Consulting, Research, and Information Technology",Full-time,Insurance
105,Qualitative Researcher,Hansa Research Group,"Delhi, India",Mid-Senior level,Marketing and Sales,Full-time,Market Research
106,Assistant Data Scientist,Ascendeum,India,Associate,Information Technology,Full-time,Advertising Services
107,Senior Data Analyst,Freshworks,"Chennai, Tamil Nadu, India",Associate,Information Technology,Full-time,Software Development
108,Computer Vision Intern,Wobot AI,"Delhi Cantonment, Delhi, India",Internship,Information Technology,Internship,Software Development
109,Junior Administrative & Data Entry Officer,S&J Group,"Thiruvananthapuram, Kerala, India",Entry level,Information Technology,Full-time,"Transportation, Logistics, Supply Chain and Storage"
110,Lead-Data Analyst,HiveMinds,"Bengaluru, Karnataka, India",Mid-Senior level,Advertising,Full-time,Administrative and Support Services
111,Program Manager,GIVA,"Bengaluru, Karnataka, India",Mid-Senior level,"Strategy/Planning, Project Management, and Public Relations",Full-time,"Retail Apparel and Fashion, Retail, and Retail Luxury Goods and Jewelry"
112,Data Scientist,SAVii,"Bengaluru, Karnataka, India",Not Applicable,Engineering and Information Technology,Full-time,"Transportation, Logistics, Supply Chain and Storage"
113,Data Analyst - Python and Power BI Developer,Heubach,"Vadodara, Gujarat, India",Mid-Senior level,Information Technology,Full-time,Internet Publishing
114,Analyst,Wipro,"Gurugram, Haryana, India",Mid-Senior level,Accounting/Auditing and Finance,Full-time,"Venture Capital and Private Equity Principals, Financial Services, and Accounting"
115,Data Scientist,Careernet,"Gurugram, Haryana, India",Mid-Senior level,Engineering and Analyst,Full-time,Information Services
116,Python Developer / Any Fresh Graduate,Technofactorx AI,India,Entry level,Engineering and Information Technology,Full-time,"Technology, Information and Internet"
117,Python Developer / Any Fresh Graduate,Technofactorx AI,India,Entry level,Engineering and Information Technology,Full-time,"Technology, Information and Internet"
118,"Software Engineer, Data Science",LinkedIn,"Bengaluru, Karnataka, India",Not Applicable,Engineering,Full-time,"IT Services and IT Consulting and Technology, Information and Internet"
119,Data Analyst,Gametion Technologies Pvt. Ltd.,"Navi Mumbai, Maharashtra, India",Mid-Senior level,Information Technology,Full-time,Computer Games
120,Infogram Data Visualization,Twixor,"Chennai, Tamil Nadu, India",Associate,Information Technology,Full-time,IT Services and IT Consulting
121,Data Entry Operator/Computer Operator,Motion Advertising Services,"Noida, Uttar Pradesh, India",Entry level,Administrative,Full-time,IT Services and IT Consulting
122,MIS Data Analyst Intern,Tsaaro Consulting,"Gurgaon, Haryana, India",Internship,Consulting,Full-time,Business Consulting and Services
123,"Data Scientist, Product, Google One",Google,"Bengaluru, Karnataka, India",Not Applicable,"Project Management, Consulting, and Engineering",Full-time,"Information Services and Technology, Information and Internet"
124,Data Scientist,Workbrick,"Agra, Uttar Pradesh, India",Entry level,Analyst,Full-time,IT Services and IT Consulting
125,Analytics Expert,Spiralyze,India,Mid-Senior level,"Research, Analyst, and Information Technology",Full-time,Internet Publishing
126,Data Scientist,Mondelēz International,"Mumbai, Maharashtra, India",Mid-Senior level,Sales and Supply Chain,Full-time,"Food and Beverage Manufacturing, Manufacturing, and Pharmaceutical Manufacturing"
127,Data Analyst,Annalect India,"Bangalore Urban, Karnataka, India",Associate,Strategy/Planning,Full-time,Data Infrastructure and Analytics
128,Data Analyst,Phenom,"Hyderabad, Telangana, India",Entry level,Information Technology,Full-time,Software Development
129,Data Scientist,Joveo,"Bangalore Urban, Karnataka, India",Associate,Engineering,Full-time,Software Development
130,Senior Manager-Applied Research,Tesco Bengaluru,"Bengaluru, Karnataka, India",Not Applicable,Other,Full-time,Retail
131,Data Scientist,Spinny,"Gurugram, Haryana, India",Associate,"Engineering, Information Technology, and Other",Full-time,"Software Development and Technology, Information and Internet"
132,Data Analyst,MVK STAFFING SERVICES PRIVATE LIMITED,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Full-time,Human Resources
133,Tableau Analyst,HID,"Chennai, Tamil Nadu, India",Associate,Information Technology,Full-time,Security and Investigations
134,Data Scientist,HCapital Technologies Private Limited,"Bangalore Urban, Karnataka, India",Mid-Senior level,Analyst and Information Technology,Full-time,IT Services and IT Consulting and Software Development
135,Head - Business Performance Management and Analytics,Max Life Insurance Company Limited,"Gurugram, Haryana, India",Mid-Senior level,Information Technology and Other,Full-time,"Banking, Insurance, and Financial Services"
136,Data Analyst,Ascendeum,India,Associate,Information Technology,Full-time,Advertising Services
137,Junior Web Analytics Analyst,Artmac,"Hyderabad, Telangana, India",Associate,Business Development and Sales,Full-time,Software Development
138,Data Entry Work Job in New Delhi,Motion Advertising Services,"Delhi, Delhi, India",Entry level,Customer Service,Full-time,IT Services and IT Consulting
139,Data Scientist,InnoWave,"Bengaluru, Karnataka, India",Mid-Senior level,Other,Full-time,IT Services and IT Consulting
140,Junior Business Analyst,Nouryon,"Navi Mumbai, Maharashtra, India",Mid-Senior level,Finance,Full-time,Chemical Manufacturing
141,Program Manager,Paisabazaar,"Gurugram, Haryana, India",Mid-Senior level,Sales and Strategy/Planning,Full-time,Banking and Financial Services
142,Data Modeler,GreenTree Advisory Services Pvt Ltd,"Bangalore Urban, Karnataka, India",Entry level,Information Technology,Full-time,Human Resources
143,Business Analyst,Visit Health,"Gurugram, Haryana, India",Mid-Senior level,Analyst,Full-time,"IT Services and IT Consulting, Wellness and Fitness Services, and Hospitals and Health Care"
144,Data Scientist/Analyst Manager,MVK STAFFING SERVICES PRIVATE LIMITED,India,Mid-Senior level,Engineering and Information Technology,Contract,Human Resources
145,Senior Data Coordinator - Public Health,Tata Steel Foundation,"Jamshedpur, Jharkhand, India",Associate,Other and Analyst,Contract,Non-profit Organizations
146,"Account Executive, LinkedIn Talent Solutions",LinkedIn,"Gurgaon, Haryana, India",Not Applicable,Sales,Full-time,"Technology, Information and Internet"
147,Real Time Data Analytics,JOBWORLD INDIA,"Bengaluru, Karnataka, India",Entry level,Information Technology,Full-time,Staffing and Recruiting
148,Chat Support Associate - Logistics (US Shift),Laundryheap,"Bengaluru, Karnataka, India",Associate,Supply Chain,Full-time,"Technology, Information and Internet"
149,Data Analyst,Fluor Corporation,"Gurgaon, Haryana, India",Entry level,Information Technology,Full-time,Construction
150,Business Analyst,YO HR Consultancy,"Mumbai, Maharashtra, India",Associate,"Research, Analyst, and Information Technology",Full-time,Business Consulting and Services
