,Job_Title,Company,Location,Level,Type,Function,Industry
213,Data Scientist - Hyderabad,Saaki Argus and Averil Consulting,"Hyderabad, Telangana, India",Entry level,Engineering and Information Technology,Full-time,Executive Search Services
214,Onboarding Analyst,Veryon,"Chennai, Tamil Nadu, India",Entry level,Human Resources,Full-time,Internet Publishing
215,Business Data Analyst,Tata Consultancy Services,"Kolkata, West Bengal, India",Mid-Senior level,Information Technology,Full-time,Information Services
216,Business Analyst,AGRIM,"Gurugram, Haryana, India",Mid-Senior level,Product Management,Full-time,"Technology, Information and Internet"
217,Data Entry Assistant,Rotomotive Powerdrives India Ltd,"Anand, Gujarat, India",Associate,Administrative,Full-time,"Appliances, Electrical, and Electronics Manufacturing and Industrial Machinery Manufacturing"
218,Data Analyst,PERSOLKELLY,Greater Bengaluru Area,Entry level,Information Technology,Full-time,Human Resources Services
219,Data Scientist Manager,Versatile People,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Contract,Staffing and Recruiting
220,,,,,,,
221,Senior Manager/Manager- Customer Insights & Analytics,Focus Edumatics Pvt Ltd,Greater Bengaluru Area,Mid-Senior level,Analyst,Full-time,"IT Services and IT Consulting, Software Development, and E-Learning Providers"
222,"Machine Learning Analyst, Trust and Safety, Google Cloud",Google,"Bengaluru, Karnataka, India",Not Applicable,Customer Service and Product Management,Full-time,"Information Services and Technology, Information and Internet"
223,Data sciecne intern,Solar Secure Solutions,"Bengaluru, Karnataka, India",Internship,Information Technology,Internship,Environmental Services
224,Female Data entry,Naukripay,"Panipat, Haryana, India",Entry level,Administrative,Full-time,Human Resources Services
225,,,,,,,
226,Data Scientist I / Data Scientist II,Delhivery,"Gurugram, Haryana, India",Entry level,Information Technology,Full-time,"Transportation, Logistics, Supply Chain and Storage"
227,Business Analyst,Birlasoft,"Noida, Uttar Pradesh, India",Mid-Senior level,Analyst,Full-time,IT Services and IT Consulting
228,Data Scientist,Tanla Platforms Limited,"Hyderabad, Telangana, India",Director,Information Technology,Full-time,Software Development
229,Data Entry Work Job in Delhi/NCR,Motion Advertising Services,"Delhi, Delhi, India",Entry level,Administrative,Full-time,IT Services and IT Consulting
230,Lead Business Analyst,KPMG India,"Bengaluru, Karnataka, India",Mid-Senior level,Consulting and Business Development,Full-time,IT Services and IT Consulting
231,,,,,,,
232,Machine Learning Engineer,IQVIA,"Bengaluru, Karnataka, India",Associate,Information Technology,Full-time,IT Services and IT Consulting and Hospitals and Health Care
233,Data Scientist,Yum! Digital & Tech India,"Gurugram, Haryana, India",Associate,"Information Technology, Science, and Other",Full-time,"IT Services and IT Consulting, Food and Beverage Services, and Data Infrastructure and Analytics"
234,Senior Data Analyst,Freshworks,"Chennai, Tamil Nadu, India",Associate,Information Technology,Full-time,Software Development
235,"Data Analyst - Noida, Kolkata",AML RightSource,"Noida, Uttar Pradesh, India",Entry level,Information Technology,Full-time,Financial Services
236,Sr. Data Scientist,GM Infotech,Pune/Pimpri-Chinchwad Area,Mid-Senior level,Engineering and Information Technology,Full-time,Marketing Services
237,People Development Specialist,Coursera,India,Entry level,Other,Full-time,E-Learning Providers
238,Tech Data Analyst [T500-9791],Inspire,"Hyderabad, Telangana, India",Mid-Senior level,"Information Technology, Engineering, and Analyst",Full-time,Retail
239,Head of Customer Relationship Management,Wellbeing Nutrition,"Mumbai, Maharashtra, India",Director,Customer Service,Full-time,Retail Health and Personal Care Products
240,Data Scientist,Quantzig,Greater Bengaluru Area,Mid-Senior level,Analyst,Full-time,Data Infrastructure and Analytics
241,Data Analyst,MANN+HUMMEL,"Bengaluru, Karnataka, India",Entry level,Information Technology,Full-time,Environmental Services
242,,,,,,,
243,Data quality Analyst,Sprinklr,"Gurgaon, Haryana, India",Entry level,Information Technology,Full-time,Software Development
244,Manager of Program Innovation,The Bail Project,"Data, Haryana, India",Entry level,Project Management and Information Technology,Full-time,Non-profit Organizations
245,Portfolio Analyst,Comviva,"Gurugram, Haryana, India",Associate,Engineering and Information Technology,Full-time,"IT Services and IT Consulting, Telecommunications, and Financial Services"
246,,,,,,,
247,,,,,,,
248,Social Media advisor,PhonePe,"Bengaluru, Karnataka, India",Mid-Senior level,Marketing and Sales,Full-time,"Technology, Information and Internet"
249,Data Science Intern,NextGen Technologies,"Bengaluru, Karnataka, India",Internship,Engineering and Information Technology,Internship,E-Learning Providers
250,Product Manager,PhonePe,"Bengaluru, Karnataka, India",Associate,Product Management,Full-time,"Technology, Information and Internet"
251,Reporting Analyst,Live Connections,"Hyderabad, Telangana, India",Mid-Senior level,Other,Full-time,Financial Services
252,People Data Analyst,bp,"Pune, Maharashtra, India",Entry level,Information Technology,Full-time,Oil and Gas
253,Assistant Professor / Associate Professor / Professor of Data Science,Krea University,"Thisayanvilai, Tamil Nadu, India",Mid-Senior level,Education and Training,Full-time,Higher Education
254,"Specialist, People Generalist",Saks India,"Bengaluru, Karnataka, India",Associate,Human Resources,Full-time,Retail
255,Survey Officer- Gujarat,"Finance & HR Consulting for Africa, Middle East & Asia - Achyutam International","Vadodara, Gujarat, India",Entry level,Other,Full-time,Business Consulting and Services
256,Research Executive,Unilever,"Bengaluru, Karnataka, India",Entry level,Research and Science,Full-time,"Food and Beverage Services, Food and Beverage Manufacturing, and Manufacturing"
257,Data labeling,Naukripay,"Bengaluru, Karnataka, India",Entry level,Information Technology,Full-time,Human Resources Services
258,Consulting - Supply Chain Excellence,Biocon,Greater Bengaluru Area,Director,"Supply Chain, Production, and Distribution",Full-time,"Manufacturing, Business Consulting and Services, and Pharmaceutical Manufacturing"
259,Lead Data Scientist,Anko GCC,"Bengaluru, Karnataka, India",Mid-Senior level,Engineering and Information Technology,Full-time,Retail
260,Finance Lead,Reliance Retail,"Kochi, Kerala, India",Mid-Senior level,"Accounting/Auditing, Finance, and Analyst",Full-time,"Retail Appliances, Electrical, and Electronic Equipment and Retail"
261,,,,,,,
262,Payroll Excutive,PW (PhysicsWallah),"Thane, Maharashtra, India",Executive,Human Resources,Full-time,Education
263,MIS Executive,JewelsHire,"Mumbai, Maharashtra, India",Mid-Senior level,Accounting/Auditing,Full-time,Retail Luxury Goods and Jewelry
264,Lead Data Scientist,Talent Socio(We're Hiring!!),"Gurgaon, Haryana, India",Mid-Senior level,Engineering and Information Technology,Full-time,Human Resources Services
265,Data Analyst 1,JLL Technologies,"Bengaluru East, Karnataka, India",Associate,Information Technology,Full-time,IT Services and IT Consulting
266,Data Scientist,QuinStreet,"Pune, Maharashtra, India",Entry level,Engineering and Information Technology,Full-time,Marketing Services and Internet Publishing
267,,,,,,,
268,Tech BA (Viraj data),ESP Softtech PVT LTD,"Indore, Madhya Pradesh, India",Mid-Senior level,Business Development and Sales,Full-time,IT System Custom Software Development
269,Manager Insights Analytics,PepsiCo,"Peerancheru, Telangana, India",Mid-Senior level,"Research, Analyst, and Information Technology",Full-time,Food and Beverage Services and Manufacturing
270,Data Analyst_Bhawna Bansal,CodersBrain,"Gurgaon, Haryana, India",Associate,Information Technology,Contract,IT Services and IT Consulting
271,Data Analyst_Bhawna Bansal,CodersBrain,"Gurgaon, Haryana, India",Associate,Information Technology,Contract,IT Services and IT Consulting
272,Data Specialist,Nilasu Consulting Services Pvt. Ltd.,"Pune, Maharashtra, India",Mid-Senior level,Information Technology,Full-time,Staffing and Recruiting
273,Senior Data Entry Specialist,Hour Consulting,"Rajarhat, West Bengal, India",Associate,Administrative,Full-time,Staffing and Recruiting
274,"Data Engineer (Remote, India-based)",InVitro Capital,India,Mid-Senior level,Engineering,Contract,"Technology, Information and Internet"
275,"Account Executive, LinkedIn Sales Solutions",LinkedIn,"Bengaluru, Karnataka, India",Not Applicable,Sales,Full-time,"Technology, Information and Internet"
276,Junior/ Associate Data Manager,Medpace,"Navi Mumbai, Maharashtra, India",Entry level,Information Technology,Full-time,Pharmaceutical Manufacturing
277,Product Analyst - Remote (Mumbai),Aryng,"Mumbai, Maharashtra, India",Mid-Senior level,Analyst,Full-time,"Technology, Information and Internet"
278,Data Analyst Lead,TechnoGen India Pvt. Ltd.,"Hyderabad, Telangana, India",Executive,Information Technology,Full-time,IT Services and IT Consulting
279,Data Scientist (AI/ML),Tata Technologies,"Pune, Maharashtra, India",Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting and Motor Vehicle Manufacturing
280,Data Anayst,MassMutual India,"Hyderabad, Telangana, India",Entry level,Information Technology,Full-time,IT Services and IT Consulting
281,Key Account Manager,Zomato,"Ambala, Haryana, India",Associate,"Business Development, Sales, and Customer Service",Full-time,"Technology, Information and Media"
282,Social Media Advisor,PhonePe,"Bengaluru, Karnataka, India",Mid-Senior level,Marketing and Sales,Full-time,"Technology, Information and Internet"
283,"Analyst, Infrastructure & Sustainable Energies",CPP Investments | Investissements RPC,"Mumbai, Maharashtra, India",Entry level,Finance,Full-time,Investment Management
284,Associate Company Secretarial,upGrad,"Mumbai, Maharashtra, India",Associate,Legal,Full-time,E-Learning Providers
285,"Quality Analyst, YouTube Global Vendor Operations",Google,"Bengaluru, Karnataka, India",Not Applicable,Information Technology and Engineering,Full-time,"Information Services and Technology, Information and Internet"
286,Research Consultant - Learning & Development,EXL,"Noida, Uttar Pradesh, India",Mid-Senior level,"Management, Consulting, and Administrative",Full-time,"IT Services and IT Consulting, Strategic Management Services, and Human Resources Services"
287,Monitoring And Evaluation Specialist,Arthan,Greater Bengaluru Area,Associate,Analyst,Full-time,"Non-profit Organizations, Education Administration Programs, and Civic and Social Organizations"
288,TSM,airtel,"Delhi, India",Entry level,Sales,Full-time,"Food and Beverage Services, Retail Apparel and Fashion, and Computers and Electronics Manufacturing"
289,Administrative Assistant,Raga on the Ganges,"Defence Colony, Delhi, India",Entry level,Administrative,Part-time,Hospitality
290,Data Entry Clerk,WhiteSlips Job Management Consultants,India,Entry level,Administrative,Full-time,IT Services and IT Consulting
291,Head of Business Intelligence || Data Engineering || BI || Data Visualization,Damco Solutions,"Faridabad, Haryana, India",Director,Information Technology,Full-time,Information Services
292,"Quality Analyst, YouTube Global Vendor Operations",Google,"Hyderabad, Telangana, India",Not Applicable,Information Technology and Engineering,Full-time,"Information Services and Technology, Information and Internet"
293,MIS Executive,Acme Services,"Mumbai, Maharashtra, India",Mid-Senior level,Information Technology,Full-time,Oil and Gas
294,Senior Data Scientist / Engineer,Kalvium,"Bengaluru, Karnataka, India",Mid-Senior level,Engineering and Information Technology,Full-time,Higher Education
295,Trust & Safety Operations Executive,apna,"Bengaluru, Karnataka, India",Entry level,Finance and Sales,Full-time,"Technology, Information and Internet"
296,,,,,,,
297,"TECHNICAL ANALYST (MSTR, data modelling)",Coforge,"Gautam Buddha Nagar, Uttar Pradesh, India",Entry level,Information Technology,Full-time,Pharmaceutical Manufacturing
298,Analyst,Ascensus,"Hyderabad, Telangana, India",Entry level,Business Development and Sales,Full-time,Financial Services
299,Financial Analyst,PayTabs Global,"Chennai, Tamil Nadu, India",Executive,Finance,Full-time,Financial Services
300,"Data Scientists (All levels), Analytical Chemistry",Braintrust,India,Entry level,Engineering and Information Technology,Full-time,"Technology, Information and Internet"
301,Project Manager,Hansa Research Group,"Mumbai, Maharashtra, India",Mid-Senior level,Project Management and Information Technology,Full-time,Market Research
302,Lead Data Analyst -Bangalore,ETT CareerMove,"Bangalore Urban, Karnataka, India",Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting and Software Development
303,Financial Analyst,Straive,India,Associate,"Accounting/Auditing, Finance, and Analyst",Full-time,"IT Services and IT Consulting, Research Services, and Financial Services"
304,Content Strategist,FruitBowl Digital,"Mumbai, Maharashtra, India",Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,Advertising Services
305,Lead - Data Engineer,Dimensions HRD Consultants,"Gurgaon, Haryana, India",Mid-Senior level,Information Technology,Full-time,"Information Services, Financial Services, and Investment Banking"
306,Research Intern,Tsaaro Consulting,"Gurgaon, Haryana, India",Internship,Consulting,Full-time,Business Consulting and Services
307,Data Operations Manager,Denave,"Noida, Uttar Pradesh, India",Mid-Senior level,Other,Full-time,IT Services and IT Consulting
308,Intern -Business Process Specialist,Acies,Mumbai Metropolitan Region,Internship,Consulting and Information Technology,Full-time,IT Services and IT Consulting and Software Development
309,Data Architect:,Changeleaders.in,"Bangalore Urban, Karnataka, India",Mid-Senior level,Engineering and Information Technology,Full-time,IT Services and IT Consulting
310,Data Science Manager,Eli Lilly and Company,"Bangalore Urban, Karnataka, India",Mid-Senior level,"Consulting, Engineering, and Research",Full-time,"IT Services and IT Consulting, Hospitals and Health Care, and Pharmaceutical Manufacturing"
311,Process Executive - Data Entry (Chennai),Infosys BPM,"Chennai, Tamil Nadu, India",Entry level,Accounting/Auditing and Finance,Full-time,Financial Services and Accounting
312,Data Scientist,Intellect Design Arena Ltd,"Gurugram, Haryana, India",Associate,Information Technology,Full-time,Banking and Financial Services
313,Product Strategy Manager,Airtel Digital,"Gurugram, Haryana, India",Mid-Senior level,Strategy/Planning and Consulting,Full-time,"Technology, Information and Internet"
314,AI / Machine Learning Specialist 100% remote,Norconsulting Global Recruitment,India,Mid-Senior level,Information Technology,Contract,IT Services and IT Consulting
315,Lead - Data Engineer,Dimensions HRD Consultants,"Gurgaon, Haryana, India",Mid-Senior level,Information Technology,Full-time,"Information Services, Financial Services, and Investment Banking"
316,Data Operations Manager,Denave,"Noida, Uttar Pradesh, India",Mid-Senior level,Other,Full-time,IT Services and IT Consulting
317,Research Intern,Tsaaro Consulting,"Gurgaon, Haryana, India",Internship,Consulting,Full-time,Business Consulting and Services
318,Intern -Business Process Specialist,Acies,Mumbai Metropolitan Region,Internship,Consulting and Information Technology,Full-time,IT Services and IT Consulting and Software Development
319,Data Architect:,Changeleaders.in,"Bangalore Urban, Karnataka, India",Mid-Senior level,Engineering and Information Technology,Full-time,IT Services and IT Consulting
320,Data Science Manager,Eli Lilly and Company,"Bangalore Urban, Karnataka, India",Mid-Senior level,"Consulting, Engineering, and Research",Full-time,"IT Services and IT Consulting, Hospitals and Health Care, and Pharmaceutical Manufacturing"
321,Process Executive - Data Entry (Chennai),Infosys BPM,"Chennai, Tamil Nadu, India",Entry level,Accounting/Auditing and Finance,Full-time,Financial Services and Accounting
322,Data Scientist,Intellect Design Arena Ltd,"Gurugram, Haryana, India",Associate,Information Technology,Full-time,Banking and Financial Services
323,Product Strategy Manager,Airtel Digital,"Gurugram, Haryana, India",Mid-Senior level,Strategy/Planning and Consulting,Full-time,"Technology, Information and Internet"
324,AI / Machine Learning Specialist 100% remote,Norconsulting Global Recruitment,India,Mid-Senior level,Information Technology,Contract,IT Services and IT Consulting
325,,,,,,,
326,Associate-Healthcare Data Research,FinacPlus,"Hyderabad, Telangana, India",Associate,"Research, Analyst, and Health Care Provider",Full-time,"Market Research, Research Services, and Hospitals and Health Care"
327,Data Scientist,Crescendo Global,"Bengaluru, Karnataka, India",Mid-Senior level,Engineering,Full-time,"Loan Brokers, Credit Intermediation, and Financial Services"
328,Social Media Advisor,PhonePe,"Bengaluru, Karnataka, India",Mid-Senior level,Marketing and Sales,Full-time,"Technology, Information and Internet"
329,Intern - Healthcare Analyst,Milliman,"Gurgaon, Haryana, India",Internship,Health Care Provider,Full-time,Business Consulting and Services
330,Data Analyst-PySpark,Idyllic Services Pvt. Ltd.,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Full-time,"Capital Markets, Software Development, and Banking"
331,Data Scientist-Finance/Credit Risk,Loyalytics AI,"Bengaluru, Karnataka, India",Entry level,Marketing,Full-time,Software Development
332,Data Engineer,Prohuman Technology Pvt. Ltd.,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting
333,Junior HR Operations and Data Analyst,Netcracker Technology,"Hyderabad, Telangana, India",Entry level,Human Resources,Contract,"IT Services and IT Consulting, Software Development, and Financial Services"
334,Consultant US Analytics (Hiring for BMS India),PharmaACE,"Hyderabad, Telangana, India",Mid-Senior level,Consulting and Project Management,Full-time,"Business Consulting and Services, Biotechnology Research, and Pharmaceutical Manufacturing"
335,Assistant Manager - Finance,Flipkart,"Bengaluru, Karnataka, India",Not Applicable,Finance and Sales,Full-time,"Technology, Information and Internet and Manufacturing"
336,Data Scientist,Sprinklr,"Gurgaon, Haryana, India",Entry level,Engineering and Information Technology,Full-time,Software Development
337,Product Management- Fintech,moneycontrol.com,"Mumbai, Maharashtra, India",Mid-Senior level,Product Management,Full-time,"Capital Markets, Banking, and Financial Services"
338,Data engineer,AviinTech Business Solutions,India,Associate,Information Technology,Contract,IT Services and IT Consulting
339,Consultant,GD Research Center Pvt. Ltd.,"Hyderabad, Telangana, India",Mid-Senior level,Consulting and Analyst,Full-time,"Market Research, Oil and Gas, and Business Consulting and Services"
340,Business Analyst – Analytics,Citi,"Bengaluru, Karnataka, India",Not Applicable,"Research, Analyst, and Information Technology",Full-time,"Banking, Financial Services, and Investment Banking"
341,Data Analyst with Python,Arting Digital,"Mumbai, Maharashtra, India",Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting
342,Research Executive,YouGov,"Mumbai, Maharashtra, India",Associate,Research,Full-time,Market Research and Research Services
343,Data Scientist,Decathlon Sports India,"Bengaluru, Karnataka, India",Entry level,Engineering and Information Technology,Full-time,Retail
344,Analyst,Wipro,"Gurugram, Haryana, India",Associate,Legal,Full-time,Legal Services and Real Estate
345,Business Intelligence Developer,Ford Motor Company,"Chennai, Tamil Nadu, India",Not Applicable,Information Technology,Full-time,Motor Vehicle Manufacturing
346,Head of Technology,2070 Health,"Gurugram, Haryana, India",Mid-Senior level,Product Management,Full-time,"Technology, Information and Internet"
347,Senior Director - Data Engineering,TalentXO,"Bengaluru, Karnataka, India",Director,Engineering and Information Technology,Full-time,"Technology, Information and Internet"
348,Master Data Management,Adani Enterprises Limited,"Ahmedabad, Gujarat, India",Associate,"Purchasing, Production, and Research",Full-time,"Transportation, Logistics, Supply Chain and Storage, Agriculture, Construction, Mining Machinery Manufacturing, and Data Infrastructure and Analytics"
349,CHRO,SmasHR Global,"Hyderabad, Telangana, India",Executive,Human Resources,Full-time,Human Resources Services
350,,,,,,,
351,Data Analyst,Wipro,"Bengaluru, Karnataka, India",Not Applicable,Information Technology,Full-time,IT Services and IT Consulting
352,Product Intern,Writesonic,India,Associate,Sales and Business Development,Part-time,Software Development
353,"Business Systems Analyst, Data Analytics",Google,"Hyderabad, Telangana, India",Not Applicable,Information Technology and Engineering,Full-time,"Information Services and Technology, Information and Internet"
354,HR Analyst,Talent Socio(We're Hiring!!),"Gurugram, Haryana, India",Associate,Human Resources,Full-time,Human Resources Services
355,Data Scientist,Osource Global,"Navi Mumbai, Maharashtra, India",Associate,"Information Technology, Engineering, and Management",Full-time,"IT Services and IT Consulting, Software Development, and Outsourcing and Offshoring Consulting"
356,Human Resources Business Partner,TRUST,"Mumbai, Maharashtra, India",Mid-Senior level,Human Resources,Full-time,Financial Services
357,Lead Product Analyst,Freshworks,"Bengaluru, Karnataka, India",Mid-Senior level,Analyst,Full-time,Software Development
358,Scrum Master,Freespace,"Mumbai, Maharashtra, India",Mid-Senior level,Information Technology,Full-time,"Technology, Information and Media"
359,Data Scientist,Alp Consulting Ltd.,"Hyderabad, Telangana, India",Associate,Information Technology,Full-time,IT Services and IT Consulting
360,ML Research Intern,SatSure,"Bangalore Urban, Karnataka, India",Internship,"Research, Analyst, and Information Technology",Full-time,Space Research and Technology
361,,,,,,,
362,Senior Data Analyst,Robosoft Technologies,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology and Engineering,Full-time,"IT Services and IT Consulting, Software Development, and Technology, Information and Internet"
363,Financial Analyst (Startup Consultant),AMEC Mobility®,"Nagpur, Maharashtra, India",Associate,Finance and Sales,Full-time,Motor Vehicle Manufacturing
364,Data Center Technician,Microsoft,"Hyderabad, Telangana, India",Not Applicable,Information Technology,Full-time,Software Development
365,Digital Marketing Analyst (Fresher Only),The Golden Rise,"Nellore, Andhra Pradesh, India",Entry level,Management and Manufacturing,Full-time,"Technology, Information and Internet"
366,Senior Data Analyst,Ascendion,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Full-time,"Technology, Information and Media"
367,,,,,,,
368,Senior Manager,nasscom,"Noida, Uttar Pradesh, India",Mid-Senior level,"Research, Strategy/Planning, and Consulting",Full-time,"Market Research, Outsourcing and Offshoring Consulting, and Business Consulting and Services"
369,Data Admin ( Implementation & Client Onboarding ),Experian,"Hyderabad, Telangana, India",Entry level,Information Technology,Full-time,Information Services
370,Product Manager,Adapton,"Chennai, Tamil Nadu, India",Mid-Senior level,Product Management and Marketing,Full-time,Business Consulting and Services
371,Business Analyst- Climate Intelligence & Analytics,ClimateHires,"Bengaluru, Karnataka, India",Mid-Senior level,Analyst,Full-time,Staffing and Recruiting
372,Quality Assurance Analyst,MS CLINICAL RESEARCH,"Bengaluru, Karnataka, India",Associate,Analyst,Full-time,Consumer Services
373,Business Analyst,Twixor,"Chennai, Tamil Nadu, India",Associate,Information Technology,Full-time,IT Services and IT Consulting
374,Data Scientist,Creative Synergies Group,"Bengaluru, Karnataka, India",Associate,Information Technology and Engineering,Full-time,IT Services and IT Consulting
375,Business Analyst 2,Epsilon India,"Bengaluru, Karnataka, India",Associate,Information Technology,Full-time,Information Services
376,Mahindra Group - Data Engineer - Python/Spark,Mahindra Group,"Mumbai, Maharashtra, India",Entry level,Information Technology,Full-time,"Software Development, Technology, Information and Internet, and Data Infrastructure and Analytics"
377,MIS Executive,Zigsaw,"Mumbai, Maharashtra, India",Associate,Information Technology,Full-time,Community Services
378,Data Quality Analyst,S&P Global,"Hyderabad, Telangana, India",Not Applicable,Information Technology,Full-time,Financial Services
379,Data Engineer,Aidetic,"Bengaluru, Karnataka, India",Entry level,Information Technology,Full-time,Software Development
380,AI & Data Science Intern,Assurant,Greater Kolkata Area,Internship,Engineering and Information Technology,Full-time,Insurance and Consumer Services
381,Senior Data Analyst,Cimpress India,"Bengaluru, Karnataka, India",Associate,Information Technology,Full-time,Software Development and Data Infrastructure and Analytics
382,Brand Strategist,Moksha Media Group,"Mumbai, Maharashtra, India",Mid-Senior level,Strategy/Planning,Full-time,Advertising Services
383,Brand Strategist,Moksha Media Group,"Mumbai, Maharashtra, India",Mid-Senior level,Strategy/Planning,Full-time,Advertising Services
384,Digital Marketing Coordinator,Steer Health,"Pune, Maharashtra, India",Associate,Marketing,Full-time,"Technology, Information and Internet"
385,Data Engineer,Allica Bank,"Bangalore Urban, Karnataka, India",Mid-Senior level,Information Technology,Full-time,Financial Services
386,Frontend Developer,Cibirix Inc.,"Indore, Madhya Pradesh, India",Entry level,Engineering and Information Technology,Full-time,Information Services
387,Back Office Associates,Awaken Internet Marketing,"Ahmedabad, Gujarat, India",Entry level,Administrative,Full-time,IT Services and IT Consulting
388,Copywriter,Liqvd.Asia,"Mumbai, Maharashtra, India",Associate,"Marketing, Public Relations, and Writing/Editing",Full-time,Advertising Services
389,Social Media Marketing Specialist,Rebel Foods,"Mumbai, Maharashtra, India",Associate,Marketing and Writing/Editing,Full-time,Advertising Services
390,Data Architect,Changeleaders.in,Mumbai Metropolitan Region,Mid-Senior level,Engineering and Information Technology,Full-time,IT Services and IT Consulting
391,Data Scientist,A.P. Moller - Maersk,"Pune, Maharashtra, India",Not Applicable,Engineering and Information Technology,Full-time,"Transportation, Logistics, Supply Chain and Storage"
392,,,,,,,
393,Junior/Lead_Data Scientist_NetApp,Encora Inc.,"Bengaluru, Karnataka, India",Mid-Senior level,Engineering and Information Technology,Full-time,"Technology, Information and Internet"
394,Innovation Manager,Arthan,"Gurugram, Haryana, India",Mid-Senior level,Research,Full-time,"Non-profit Organizations and Agriculture, Construction, Mining Machinery Manufacturing"
395,CRM & Data Lead,CHANEL,"New Delhi, Delhi, India",Mid-Senior level,Other,Full-time,Retail and Retail Luxury Goods and Jewelry
396,Data Tester (ETL),Awign Expert,"Hyderabad, Telangana, India",Entry level,Engineering and Information Technology,Full-time,"Technology, Information and Internet"
397,,,,,,,
398,Python Web Developer,Awign Expert,"Bengaluru, Karnataka, India",Entry level,Engineering and Information Technology,Full-time,"Technology, Information and Internet"
399,Data Scientist - Product,Confluent,India,Entry level,Engineering and Information Technology,Full-time,"IT Services and IT Consulting, Software Development, and Computer Networking Products"
400,Finance and Marketing Analyst,Creditsafe Technology,"Hyderabad, Telangana, India",Mid-Senior level,"Information Technology, Business Development, and Analyst",Full-time,IT Services and IT Consulting
401,Data Scientist,HuntingCube Recruitment Solutions,"Bengaluru, Karnataka, India",Mid-Senior level,Engineering,Full-time,Internet Marketplace Platforms
402,Data Scientist,Decathlon Sports India,"Bengaluru, Karnataka, India",Entry level,Engineering and Information Technology,Full-time,Retail
403,,,,,,,
404,Contract Administrator,IDG (International Data Group),"Bengaluru, Karnataka, India",Associate,Legal,Full-time,"IT Services and IT Consulting, Market Research, and Legal Services"
405,Key Accounts Manager,Zomato,"Coimbatore, Tamil Nadu, India",Mid-Senior level,Business Development and Sales,Full-time,"Technology, Information and Internet"
406,CRM & Data Lead,CHANEL,"New Delhi, Delhi, India",Mid-Senior level,Other,Full-time,Retail and Retail Luxury Goods and Jewelry
407,Data Tester (ETL),Awign Expert,"Hyderabad, Telangana, India",Entry level,Engineering and Information Technology,Full-time,"Technology, Information and Internet"
408,Data Scientist,News Corp,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Full-time,"Technology, Information and Media"
409,Python Web Developer,Awign Expert,"Bengaluru, Karnataka, India",Entry level,Engineering and Information Technology,Full-time,"Technology, Information and Internet"
410,Data Scientist - Product,Confluent,India,Entry level,Engineering and Information Technology,Full-time,"IT Services and IT Consulting, Software Development, and Computer Networking Products"
411,Finance and Marketing Analyst,Creditsafe Technology,"Hyderabad, Telangana, India",Mid-Senior level,"Information Technology, Business Development, and Analyst",Full-time,IT Services and IT Consulting
412,Data Scientist,HuntingCube Recruitment Solutions,"Bengaluru, Karnataka, India",Mid-Senior level,Engineering,Full-time,Internet Marketplace Platforms
413,Data Scientist,Decathlon Sports India,"Bengaluru, Karnataka, India",Entry level,Engineering and Information Technology,Full-time,Retail
414,Contract Administrator,IDG (International Data Group),"Bengaluru, Karnataka, India",Associate,Legal,Full-time,"IT Services and IT Consulting, Market Research, and Legal Services"
415,Key Accounts Manager,Zomato,"Coimbatore, Tamil Nadu, India",Mid-Senior level,Business Development and Sales,Full-time,"Technology, Information and Internet"
416,Executive (Data Science),NTPC Limited,"New Delhi, Delhi, India",Executive,Analyst and Information Technology,Contract,"Utilities, Oil, Gas, and Mining, and Electric Power Generation"
417,Data Scientist - Digital Marketing,IndiGo (InterGlobe Aviation Ltd),"Gurgaon, Haryana, India",Entry level,Engineering and Information Technology,Full-time,Airlines and Aviation
418,Key Accounts Manager,Zomato,"Bhubaneswar, Odisha, India",Mid-Senior level,Business Development and Sales,Full-time,"Technology, Information and Internet"
419,Customer Success Specialist - Renewals,Veryon,"Chennai, Tamil Nadu, India",Entry level,Other,Full-time,Internet Publishing
420,Customer Support,Cureskin,"New Delhi, Delhi, India",Associate,Other,Full-time,"Technology, Information and Internet"
421,Customer Support,Cureskin,"Bengaluru, Karnataka, India",Associate,Other,Full-time,"Technology, Information and Internet"
422,Customer Support,Cureskin,"Mumbai, Maharashtra, India",Associate,Other,Full-time,"Technology, Information and Internet"
423,Data Analyst - Jammu & Kashmir,ConveGenius,"Jammu, Jammu & Kashmir, India",Entry level,Engineering,Full-time,Education
424,Human Resources Business Partner,PW (PhysicsWallah),"Jharkhand, India",Mid-Senior level,Human Resources,Full-time,Education
425,"Machine Learning Engineer (Remote, India-based)",InVitro Capital,India,Mid-Senior level,Engineering,Contract,"Technology, Information and Internet"
